source,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pressure,temperature,distance,latitude,longitude,gps_altitude,cleaned_lat,cleaned_lon,cleaned_alt,outlier_flag
MOCK_FALLBACK,0,-2.2,0.0,10.11,0.12,0.0,20.94,995.36,27.02,500.0,28.6139,77.209,150.0,28.613900,77.209000,150.00,False
MOCK_FALLBACK,1,-2.2,0.05,10.1,0.12,0.01,21.13,992.38,26.86,500.0,28.614027,77.209145,175.16,28.614027,77.209145,175.16,False
MOCK_FALLBACK,2,-2.19,0.1,10.09,0.12,0.01,21.28,989.45,26.7,500.0,28.614154,77.209289,199.99,28.614154,77.209289,199.99,False
MOCK_FALLBACK,3,-2.19,0.14,10.06,0.11,0.02,21.34,986.57,26.54,500.0,28.614282,77.209434,224.48,28.614282,77.209434,224.48,False
MOCK_FALLBACK,4,-2.19,0.18,10.02,0.11,0.03,21.3,983.74,26.38,500.0,28.614409,77.209579,248.63,28.614409,77.209579,248.63,False
MOCK_FALLBACK,5,-2.19,0.21,9.97,0.1,0.03,21.18,980.95,26.23,500.0,28.614536,77.209724,272.44,28.614536,77.209724,272.44,False
MOCK_FALLBACK,6,-2.18,0.23,9.92,0.09,0.04,20.99,978.2,26.08,500.0,28.614663,77.209868,295.92,28.614663,77.209868,295.92,False
MOCK_FALLBACK,7,-2.18,0.25,9.86,0.08,0.04,20.79,975.5,25.93,500.0,28.614791,77.210013,319.06,28.614791,77.210013,319.06,False
MOCK_FALLBACK,8,-2.18,0.25,9.8,0.07,0.05,20.63,972.85,25.78,500.0,28.614918,77.210158,341.86,28.614918,77.210158,341.86,False
MOCK_FALLBACK,9,-2.18,0.24,9.74,0.05,0.05,20.55,970.24,25.63,500.0,28.615045,77.210302,364.32,28.615045,77.210302,364.32,False
MOCK_FALLBACK,10,-2.17,0.23,9.69,0.04,0.06,20.56,967.68,25.49,500.0,28.615172,77.210447,386.44,28.615172,77.210447,386.44,False
MOCK_FALLBACK,11,-2.17,0.2,9.63,0.03,0.06,20.67,965.16,25.35,500.0,28.6153,77.210592,408.23,28.615300,77.210592,408.23,False
MOCK_FALLBACK,12,-2.17,0.17,9.59,0.02,0.06,20.84,962.69,25.21,500.0,28.615427,77.210737,429.68,28.615427,77.210737,429.68,False
MOCK_FALLBACK,13,-2.17,0.13,9.55,0.0,0.06,21.04,960.25,25.07,500.0,28.615554,77.210881,450.79,28.615554,77.210881,450.79,False
MOCK_FALLBACK,14,-2.16,0.08,9.53,-0.01,0.07,21.21,957.87,24.93,500.0,28.615681,77.211026,471.56,28.615681,77.211026,471.56,False
MOCK_FALLBACK,15,-2.16,0.04,9.51,-0.03,0.07,21.32,955.52,24.8,500.0,28.615809,77.211171,492.0,28.615809,77.211171,492.00,False
MOCK_FALLBACK,16,-2.16,-0.01,9.51,-0.04,0.07,21.33,953.22,24.67,500.0,28.615936,77.211315,512.1,28.615936,77.211315,512.10,False
MOCK_FALLBACK,17,-2.15,-0.06,9.52,-0.05,0.07,21.25,950.97,24.54,500.0,28.616063,77.21146,531.86,28.616063,77.211460,531.86,False
MOCK_FALLBACK,18,-2.15,-0.11,9.54,-0.06,0.06,21.09,948.75,24.42,500.0,28.61619,77.211605,551.28,28.616190,77.211605,551.28,False
MOCK_FALLBACK,19,-2.15,-0.15,9.57,-0.07,0.06,20.89,946.58,24.29,500.0,28.616318,77.21175,570.36,28.616318,77.211750,570.36,False
MOCK_FALLBACK,20,-2.15,-0.19,9.61,-0.08,0.06,20.7,944.45,24.17,500.0,28.616445,77.211894,589.11,28.616445,77.211894,589.11,False
MOCK_FALLBACK,21,-2.14,-0.22,9.66,-0.09,0.06,20.58,942.36,24.05,500.0,28.616572,77.212039,607.52,28.616572,77.212039,607.52,False
MOCK_FALLBACK,22,-2.14,-0.24,9.72,-0.1,0.05,20.54,940.32,23.93,500.0,28.616699,77.212184,625.59,28.616699,77.212184,625.59,False
MOCK_FALLBACK,23,-2.14,-0.25,9.78,-0.1,0.05,20.6,938.32,23.82,500.0,28.616827,77.212328,643.32,28.616827,77.212328,643.32,False
MOCK_FALLBACK,24,-2.14,-0.25,9.84,-0.11,0.04,20.75,936.35,23.71,500.0,28.616954,77.212473,660.72,28.616954,77.212473,660.72,False
MOCK_FALLBACK,25,-2.13,-0.24,9.9,-0.11,0.04,20.94,934.43,23.59,500.0,28.617081,77.212618,677.78,28.617081,77.212618,677.78,False
MOCK_FALLBACK,26,-2.13,-0.22,9.95,-0.11,0.03,21.13,932.55,23.49,500.0,28.617208,77.212763,694.5,28.617208,77.212763,694.50,False
MOCK_FALLBACK,27,-2.13,-0.19,10.0,-0.11,0.03,21.28,930.71,23.38,500.0,28.617336,77.212907,710.88,28.617336,77.212907,710.88,False
MOCK_FALLBACK,28,-2.13,-0.16,10.04,-0.11,0.02,21.34,928.92,23.27,500.0,28.617463,77.213052,726.92,28.617463,77.213052,726.92,False
MOCK_FALLBACK,29,-2.12,-0.12,10.08,-0.1,0.02,21.3,927.16,23.17,500.0,28.61759,77.213197,742.63,28.617590,77.213197,742.63,True
MOCK_FALLBACK,30,-2.12,-0.07,10.1,-0.1,0.01,21.18,925.44,23.07,500.0,28.617717,77.213341,758.0,28.617717,77.213341,758.00,True
MOCK_FALLBACK,31,-2.12,-0.02,10.11,-0.09,0.0,20.99,923.77,22.98,500.0,28.617845,77.213486,773.03,28.617845,77.213486,773.03,True
MOCK_FALLBACK,32,-2.11,0.03,10.11,-0.08,-0.0,20.79,922.13,22.88,500.0,28.617972,77.213631,787.72,28.617972,77.213631,787.72,True
MOCK_FALLBACK,33,-2.11,0.08,10.1,-0.07,-0.01,20.63,920.53,22.79,500.0,28.618099,77.213776,802.08,28.618099,77.213776,802.08,True
MOCK_FALLBACK,34,-2.11,0.12,10.07,-0.06,-0.02,20.55,918.98,22.7,500.0,28.618226,77.21392,816.1,28.618226,77.213920,816.10,True
MOCK_FALLBACK,35,-2.11,0.16,10.04,-0.05,-0.02,20.56,917.46,22.61,500.0,28.618354,77.214065,829.78,28.618354,77.214065,829.78,True
MOCK_FALLBACK,36,-2.1,0.2,9.99,-0.04,-0.03,20.67,915.98,22.52,500.0,28.618481,77.21421,843.12,28.618481,77.214210,843.12,True
MOCK_FALLBACK,37,-2.1,0.22,9.94,-0.03,-0.03,20.84,914.54,22.44,500.0,28.618608,77.214354,856.12,28.618608,77.214354,856.12,True
MOCK_FALLBACK,38,-2.1,0.24,9.89,-0.02,-0.04,21.04,913.14,22.35,500.0,28.618735,77.214499,868.79,28.618735,77.214499,868.79,True
MOCK_FALLBACK,39,-2.1,0.25,9.83,-0.0,-0.04,21.21,911.78,22.27,500.0,28.618863,77.214644,881.12,28.618863,77.214644,881.12,True
MOCK_FALLBACK,40,-2.09,0.25,9.77,0.01,-0.05,21.32,910.46,22.19,500.0,28.62249,77.214789,1013.11,28.622490,77.214789,1013.11,True
MOCK_FALLBACK,41,-2.09,0.24,9.71,0.02,-0.05,21.33,909.18,22.12,500.0,28.619117,77.214933,904.76,28.619117,77.214933,904.76,True
MOCK_FALLBACK,42,-2.09,0.21,9.65,0.03,-0.05,21.25,907.93,22.05,500.0,28.619244,77.215078,916.08,28.619244,77.215078,916.08,True
