timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pressure,temperature,distance,latitude,longitude,gps_altitude
0,-2.20,0.00,10.11,0.15,0.00,20.94,995.36,27.02,500.00,28.613900,77.209000,150.00
1,-2.20,0.04,10.11,0.15,0.00,21.09,994.05,26.95,500.00,28.613954,77.209061,161.09
2,-2.20,0.07,10.10,0.15,0.01,21.23,992.74,26.88,500.00,28.614007,77.209122,172.12
3,-2.20,0.11,10.08,0.15,0.01,21.34,991.45,26.81,500.00,28.614061,77.209183,183.11
4,-2.20,0.14,10.06,0.14,0.02,21.42,990.15,26.74,500.00,28.614115,77.209244,194.05
5,-2.20,0.17,10.03,0.14,0.02,21.44,988.87,26.67,500.00,28.614169,77.209306,204.94
6,-2.19,0.20,10.00,0.13,0.03,21.42,987.60,26.60,500.00,28.614222,77.209367,215.78
7,-2.19,0.22,9.96,0.13,0.03,21.34,986.33,26.53,500.00,28.614276,77.209428,226.57
8,-2.19,0.23,9.92,0.12,0.04,21.23,985.06,26.46,500.00,28.614330,77.209489,237.31
9,-2.19,0.24,9.88,0.11,0.04,21.09,983.81,26.39,500.00,28.614384,77.209550,248.00
10,-2.19,0.25,9.83,0.10,0.05,20.94,982.56,26.32,500.00,28.614437,77.209611,258.64
11,-2.19,0.25,9.79,0.10,0.05,20.79,981.32,26.25,500.00,28.614491,77.209672,269.23
12,-2.19,0.24,9.74,0.09,0.05,20.65,980.09,26.18,500.00,28.614545,77.209733,279.78
13,-2.19,0.23,9.70,0.08,0.06,20.54,978.86,26.11,500.00,28.614598,77.209794,290.27
14,-2.19,0.22,9.66,0.07,0.06,20.46,977.64,26.05,500.00,28.614652,77.209855,300.72
15,-2.19,0.19,9.62,0.05,0.06,20.44,976.43,25.98,500.00,28.614706,77.209917,311.11
16,-2.19,0.17,9.59,0.04,0.07,20.46,975.22,25.91,500.00,28.614760,77.209978,321.46
17,-2.18,0.14,9.56,0.03,0.07,20.54,974.03,25.84,500.00,28.614813,77.210039,331.75
18,-2.18,0.11,9.54,0.02,0.07,20.65,972.83,25.78,500.00,28.614867,77.210100,342.00
19,-2.18,0.07,9.52,0.01,0.07,20.79,971.65,25.71,500.00,28.614921,77.210161,352.20
20,-2.18,0.04,9.51,-0.00,0.07,20.94,970.47,25.64,500.00,28.614975,77.210222,362.35
